pagina,endereco,preco,area,quartos,banheiros,vagas,tipo,area_m2,preco_venda,qtd_quartos,qtd_vagas,preco_m2
3,"Lote/Terreno para comprar com 600 m² em
Centro, Jacareí",R$ 69.990,"Tamanho do imóvel
600 m²",,,,Terreno,600.0,69990.0,,,116.65
3,"Lote/Terreno para comprar com 600 m² em
Chácaras Reunidas Igarapés, Jacareí",R$ 79.990,"Tamanho do imóvel
600 m²",,,,Terreno,600.0,79990.0,,,133.31666666666666
3,"Lote/Terreno para comprar com 600 m² em
Centro, Jacareí",R$ 79.999,"Tamanho do imóvel
600 m²",,,,Terreno,600.0,79999.0,,,133.33166666666668
4,"Lote/Terreno para comprar com 250 m² em
Loteamento Villa Branca, Jacareí",R$ 550.000,"Tamanho do imóvel
250 m²",,,,Terreno,250.0,550000.0,,,2200.0
4,"Lote/Terreno para comprar com 250 m² em
Loteamento Villa Branca, Jacareí",R$ 430.000 IPTU R$ 100,"Tamanho do imóvel
250 m²",,,,Terreno,250.0,430000.0,,,1720.0
4,"Lote/Terreno para comprar com 1000 m² em
Cidade Nova Jacareí, Jacareí",R$ 99.999 Cond. R$ 200 • IPTU R$ 200,"Tamanho do imóvel
1000 m²",,,,Terreno,1000.0,99999.0,,,99.999
4,"Lote/Terreno para comprar com 479 m² em
Jardim Terras de Santa Helena, Jacareí",R$ 230.000,"Tamanho do imóvel
479 m²",,,,Terreno,479.0,230000.0,,,480.1670146137787
4,"Lote/Terreno para comprar com 600 m² em
Centro, Jacareí",R$ 79.999,"Tamanho do imóvel
600 m²",,,,Terreno,600.0,79999.0,,,133.33166666666668
4,"Lote/Terreno para comprar com 1000 m² em
Centro, Jacareí",R$ 99.900 Cond. R$ 150 • IPTU R$ 4,"Tamanho do imóvel
1000 m²",,,,Terreno,1000.0,99900.0,,,99.9
5,"Lote/Terreno para comprar com 600 m² em
Centro, Jacareí",R$ 79.980,"Tamanho do imóvel
600 m²",,,,Terreno,600.0,79980.0,,,133.3
5,"Lote/Terreno para comprar com 224 m² em
Residencial Parque dos Sinos, Jacareí",R$ 280.000,"Tamanho do imóvel
224 m²",,,,Terreno,224.0,280000.0,,,1250.0
5,"Lote/Terreno para comprar com 320 m², 5 vagas em
Jardim Terras de São João, Jacareí",R$ 300.000 IPTU R$ 280,"Tamanho do imóvel
320 m²",,,"Quantidade de vagas de garagem
5",Terreno,320.0,300000.0,,5.0,937.5
5,"Lote/Terreno para comprar com 62312 m² em
Parateí do Meio, Jacareí",R$ 19.000.000 IPTU R$ 5.300,"Tamanho do imóvel
62312 m²",,,,Terreno,62312.0,19000000.0,,,304.91719091025806
5,"Lote/Terreno para comprar com 600 m² em
Centro, Jacareí",R$ 79.990,"Tamanho do imóvel
600 m²",,,,Terreno,600.0,79990.0,,,133.31666666666666
5,"Lote/Terreno para comprar com 1000 m² em
Centro, Jacareí",R$ 100.000 Cond. R$ 170 • IPTU R$ 4,"Tamanho do imóvel
1000 m²",,,,Terreno,1000.0,100000.0,,,100.0
5,"Lote/Terreno para comprar com 0 m² em
Parque dos Príncipes, Jacareí",R$ 100.000,"Tamanho do imóvel
0 m²",,,,Terreno,0.0,100000.0,,,inf
5,"Lote/Terreno para comprar com 175 m² em
Residencial Parque dos Sinos, Jacareí",R$ 182.000,"Tamanho do imóvel
175 m²",,,,Terreno,175.0,182000.0,,,1040.0
5,"Lote/Terreno para comprar com 5000 m² em
Centro, Jacareí",R$ 242.000,"Tamanho do imóvel
5000 m²",,,,Terreno,5000.0,242000.0,,,48.4
5,"Lote/Terreno para comprar com 312 m² em
Loteamento Villa Branca, Jacareí",R$ 479.000,"Tamanho do imóvel
312 m²",,,,Terreno,312.0,479000.0,,,1535.2564102564102
6,"Lote/Terreno para comprar com 1000 m² em
Jardim das Indústrias, Jacareí",R$ 99.990,"Tamanho do imóvel
1000 m²",,,,Terreno,1000.0,99990.0,,,99.99
6,"Lote/Terreno para comprar com 300 m² em
Jardim Santa Maria, Jacareí",R$ 330.000,"Tamanho do imóvel
300 m²",,,,Terreno,300.0,330000.0,,,1100.0
6,"Lote/Terreno para comprar com 472 m² em
Jardim Bela Vista, Jacareí",R$ 225.000 IPTU R$ 817,"Tamanho do imóvel
472 m²",,,,Terreno,472.0,225000.0,,,476.6949152542373
6,"Lote/Terreno para comprar com 140 m² em
Parque dos Príncipes, Jacareí",R$ 120.000 IPTU R$ 450,"Tamanho do imóvel
140 m²",,,,Terreno,140.0,120000.0,,,857.1428571428571
6,"Lote/Terreno para comprar com 600 m² em
Centro, Jacareí",R$ 79.999,"Tamanho do imóvel
600 m²",,,,Terreno,600.0,79999.0,,,133.33166666666668
6,"Lote/Terreno para comprar com 920 m² em
Jardim Olympia, Jacareí",R$ 210.000,"Tamanho do imóvel
920 m²",,,,Terreno,920.0,210000.0,,,228.2608695652174
7,"Lote/Terreno para comprar com 600 m² em
Centro, Jacareí",R$ 79.999,"Tamanho do imóvel
600 m²",,,,Terreno,600.0,79999.0,,,133.33166666666668
7,"Lote/Terreno para comprar com 300 m² em
Jardim Santa Maria, Jacareí",R$ 330.000,"Tamanho do imóvel
300 m²",,,,Terreno,300.0,330000.0,,,1100.0
7,"Lote/Terreno para comprar com 1000 m² em
Vila Nova Aliança, Jacareí",R$ 100.000 Cond. R$ 100 • IPTU R$ 200,"Tamanho do imóvel
1000 m²",,,,Terreno,1000.0,100000.0,,,100.0
7,"Lote/Terreno para comprar com 1000 m² em
Jardim Colônia, Jacareí",R$ 122.500 Cond. R$ 100,"Tamanho do imóvel
1000 m²",,,,Terreno,1000.0,122500.0,,,122.5
8,"Lote/Terreno para comprar com 250 m² em
Condomínio Vem Viver Jacareí, Jacareí",R$ 420.000 Cond. R$ 400,"Tamanho do imóvel
250 m²",,,,Terreno,250.0,420000.0,,,1680.0
8,"Lote/Terreno para comprar com 300 m² em
Jardim Santa Maria, Jacareí",R$ 330.000,"Tamanho do imóvel
300 m²",,,,Terreno,300.0,330000.0,,,1100.0
8,"Lote/Terreno para comprar com 250 m² em
Jardim Residencial Golden Park, Jacareí",R$ 372.000,"Tamanho do imóvel
250 m²",,,,Terreno,250.0,372000.0,,,1488.0
8,"Lote/Terreno para comprar com 5000 m² em
Bandeira Branca, Jacareí",R$ 242.000 Cond. R$ 100,"Tamanho do imóvel
5000 m²",,,,Terreno,5000.0,242000.0,,,48.4
8,"Lote/Terreno para comprar com 1100 m² em
Veraneio Ijal, Jacareí",R$ 205.000,"Tamanho do imóvel
1100 m²",,,,Terreno,1100.0,205000.0,,,186.36363636363637
9,"Lote/Terreno para comprar com 1456 m² em
Chácaras Reunidas Igarapés, Jacareí",R$ 230.000,"Tamanho do imóvel
1456 m²",,,,Terreno,1456.0,230000.0,,,157.96703296703296
9,"Lote/Terreno para comprar com 225 m² em
Jardim Novo Amanhecer, Jacareí",R$ 130.000,"Tamanho do imóvel
225 m²",,,,Terreno,225.0,130000.0,,,577.7777777777778
9,"Lote/Terreno para comprar com 600 m² em
Centro, Jacareí",R$ 79.999,"Tamanho do imóvel
600 m²",,,,Terreno,600.0,79999.0,,,133.33166666666668
9,"Lote/Terreno para comprar com 0 m² em
Jardim Novo Amanhecer, Jacareí",R$ 100.000,"Tamanho do imóvel
0 m²",,,,Terreno,0.0,100000.0,,,inf
10,"Lote/Terreno para comprar com 600 m² em
Centro, Jacareí",R$ 69.990,"Tamanho do imóvel
600 m²",,,,Terreno,600.0,69990.0,,,116.65
10,"Lote/Terreno para comprar com 150 m² em
Jardim do Marquês, Jacareí",R$ 130.000 IPTU R$ 350,"Tamanho do imóvel
150 m²",,,,Terreno,150.0,130000.0,,,866.6666666666666
10,"Lote/Terreno para comprar com 1162 m² em
Jardim Rio Comprido, Jacareí",R$ 668.000 Cond. R$ 500,"Tamanho do imóvel
1162 m²",,,,Terreno,1162.0,668000.0,,,574.8709122203098
10,"Lote/Terreno para comprar com 5000 m² em
Condomínio Residence Club, Jacareí",R$ 245.000 Cond. R$ 1,"Tamanho do imóvel
5000 m²",,,,Terreno,5000.0,245000.0,,,49.0
11,"Lote/Terreno para comprar com 1057 m² em
Jardim Nova Esperança, Jacareí",R$ 360.000 Cond. R$ 7 • IPTU R$ 850,"Tamanho do imóvel
1057 m²",,,,Terreno,1057.0,360000.0,,,340.58656575212865
11,"Lote/Terreno para comprar com 29627 m² em
Jardim Santa Maria, Jacareí",R$ 13.332.150 IPTU R$ 300,"Tamanho do imóvel
29627 m²",,,,Terreno,29627.0,13332150.0,,,450.0
11,"Lote/Terreno para comprar com 236 m² em
Parque dos Príncipes, Jacareí",R$ 130.000 IPTU R$ 30,"Tamanho do imóvel
236 m²",,,,Terreno,236.0,130000.0,,,550.8474576271186
11,"Lote/Terreno para comprar com 600 m² em
Centro, Jacareí",R$ 69.999,"Tamanho do imóvel
600 m²",,,,Terreno,600.0,69999.0,,,116.665
11,"Lote/Terreno para comprar com 250 m² em
Jardim Residencial Golden Park, Jacareí",R$ 358.000 Cond. R$ 485 • IPTU R$ 1.026,"Tamanho do imóvel
250 m²",,,,Terreno,250.0,358000.0,,,1432.0
11,"Lote/Terreno para comprar com 250 m² em
Condomínio Residencial Fogaça, Jacareí",R$ 330.000 Cond. R$ 350 • IPTU R$ 100,"Tamanho do imóvel
250 m²",,,,Terreno,250.0,330000.0,,,1320.0
11,"Lote/Terreno para comprar com 5000 m² em
Condomínio Residence Club, Jacareí",R$ 242.000 Cond. R$ 1,"Tamanho do imóvel
5000 m²",,,,Terreno,5000.0,242000.0,,,48.4
12,"Lote/Terreno para comprar com 544 m² em
Jardim Marcondes, Jacareí",R$ 560.000,"Tamanho do imóvel
544 m²",,,,Terreno,544.0,560000.0,,,1029.4117647058824
12,"Lote/Terreno para comprar com 350 m² em
Parque Santo Antônio, Jacareí",R$ 350.000 IPTU R$ 570,"Tamanho do imóvel
350 m²",,,,Terreno,350.0,350000.0,,,1000.0
12,"Imóvel para comprar com 40 m², 1 quarto, 1 banheiro, 1 vaga em
Loteamento Villa Branca, Jacareí",R$ 400.000 Cond. R$ 300,"Tamanho do imóvel
40 m²","Quantidade de quartos
1","Quantidade de banheiros
1","Quantidade de vagas de garagem
1",Terreno,40.0,400000.0,1.0,1.0,10000.0
12,"Lote/Terreno para comprar com 5000 m² em
Condomínio Residence Club, Jacareí",R$ 240.000 Cond. R$ 1,"Tamanho do imóvel
5000 m²",,,,Terreno,5000.0,240000.0,,,48.0
12,"Lote/Terreno para comprar com 250 m² em
Cidade Jardim, Jacareí",R$ 270.000 IPTU R$ 1.100,"Tamanho do imóvel
250 m²",,,,Terreno,250.0,270000.0,,,1080.0
13,"Lote/Terreno para comprar com 250 m² em
Cidade Jardim, Jacareí",R$ 270.000 IPTU R$ 1.100,"Tamanho do imóvel
250 m²",,,,Terreno,250.0,270000.0,,,1080.0
13,"Lote/Terreno para comprar com 259 m² em
Jardim Jacinto, Jacareí",R$ 310.000,"Tamanho do imóvel
259 m²",,,,Terreno,259.0,310000.0,,,1196.9111969111968
13,"Lote/Terreno para comprar com 3026 m² em
Bandeira Branca, Jacareí",R$ 400.000 Cond. R$ 485 • IPTU R$ 200,"Tamanho do imóvel
3026 m²",,,,Terreno,3026.0,400000.0,,,132.18770654329148
13,"Lote/Terreno para comprar com 300 m² em
Jardim Santa Maria, Jacareí",R$ 330.000,"Tamanho do imóvel
300 m²",,,,Terreno,300.0,330000.0,,,1100.0
13,"Lote/Terreno para comprar com 300 m² em
Jardim Santa Maria, Jacareí",R$ 350.000,"Tamanho do imóvel
300 m²",,,,Terreno,300.0,350000.0,,,1166.6666666666667
13,"Lote/Terreno para comprar com 720 m² em
Jardim Maria Amélia, Jacareí",R$ 300.000,"Tamanho do imóvel
720 m²",,,,Terreno,720.0,300000.0,,,416.6666666666667
13,"Lote/Terreno para comprar com 250 m² em
Loteamento Villa Branca, Jacareí",R$ 480.000 IPTU R$ 110,"Tamanho do imóvel
250 m²",,,,Terreno,250.0,480000.0,,,1920.0
14,"Lote/Terreno para comprar com 175 m² em
Residencial Parque dos Sinos, Jacareí",R$ 195.000,"Tamanho do imóvel
175 m²",,,,Terreno,175.0,195000.0,,,1114.2857142857142
14,"Lote/Terreno para comprar com 250 m² em
Condomínio Residencial Fogaça, Jacareí",R$ 370.000 Cond. R$ 400,"Tamanho do imóvel
250 m²",,,,Terreno,250.0,370000.0,,,1480.0
14,"Lote/Terreno para comprar com 331 m² em
Jardim Terras de São João, Jacareí",R$ 270.000,"Tamanho do imóvel
331 m²",,,,Terreno,331.0,270000.0,,,815.7099697885196
14,"Lote/Terreno para comprar com 1174 m² em
Bandeira Branca, Jacareí",R$ 395.000 Cond. R$ 974 • IPTU R$ 96,"Tamanho do imóvel
1174 m²",,,,Terreno,1174.0,395000.0,,,336.4565587734242
14,"Lote/Terreno para comprar com 2691 m² em
Chácaras Rurais Guararema, Jacareí",R$ 340.000,"Tamanho do imóvel
2691 m²",,,,Terreno,2691.0,340000.0,,,126.347082868822
15,"Lote/Terreno para comprar com 175 m² em
Residencial Parque dos Sinos, Jacareí",R$ 185.000,"Tamanho do imóvel
175 m²",,,,Terreno,175.0,185000.0,,,1057.142857142857
15,"Lote/Terreno para comprar com 392 m² em
Jardim São Luiz, Jacareí",R$ 188.000,"Tamanho do imóvel
392 m²",,,,Terreno,392.0,188000.0,,,479.59183673469386
16,"Lote/Terreno para comprar com 363 m² em
Jardim Terras de Santa Helena, Jacareí",R$ 140.000,"Tamanho do imóvel
363 m²",,,,Terreno,363.0,140000.0,,,385.6749311294766
16,"Lote/Terreno para comprar com 600 m² em
Centro, Jacareí",R$ 79.999,"Tamanho do imóvel
600 m²",,,,Terreno,600.0,79999.0,,,133.33166666666668
17,"Lote/Terreno para comprar com 1049 m² em
Condomínio Parque Vale dos Lagos, Jacareí",R$ 300.000,"Tamanho do imóvel
1049 m²",,,,Terreno,1049.0,300000.0,,,285.9866539561487
17,"Lote/Terreno para comprar com 245 m² em
Jardim Jacinto, Jacareí",R$ 426.000 Cond. R$ 200 • IPTU R$ 100,"Tamanho do imóvel
245 m²",,,,Terreno,245.0,426000.0,,,1738.7755102040817
17,"Lote/Terreno para comprar com 600 m² em
Centro, Jacareí",R$ 79.999,"Tamanho do imóvel
600 m²",,,,Terreno,600.0,79999.0,,,133.33166666666668
17,"Lote/Terreno para comprar com 600 m² em
Centro, Jacareí",R$ 79.990,"Tamanho do imóvel
600 m²",,,,Terreno,600.0,79990.0,,,133.31666666666666
17,"Lote/Terreno para comprar com 250 m² em
Cidade Jardim, Jacareí",R$ 270.000 IPTU R$ 105,"Tamanho do imóvel
250 m²",,,,Terreno,250.0,270000.0,,,1080.0
18,"Lote/Terreno para comprar com 250 m² em
Condomínio Vem Viver Jacareí, Jacareí",R$ 532.000 Cond. R$ 350 • IPTU R$ 60,"Tamanho do imóvel
250 m²",,,,Terreno,250.0,532000.0,,,2128.0
18,"Lote/Terreno para comprar com 500 m² em
Centro, Jacareí",R$ 89.900 Cond. R$ 1,"Tamanho do imóvel
500 m²",,,,Terreno,500.0,89900.0,,,179.8
18,"Lote/Terreno para comprar com 1000 m² em
Jardim Olympia, Jacareí",R$ 250.000,"Tamanho do imóvel
1000 m²",,,,Terreno,1000.0,250000.0,,,250.0
18,"Lote/Terreno para comprar com 223 m² em
Jardim do Vale, Jacareí",R$ 180.000 IPTU R$ 929,"Tamanho do imóvel
223 m²",,,,Terreno,223.0,180000.0,,,807.1748878923767
18,"Lote/Terreno para comprar com 600 m² em
Centro, Jacareí",R$ 79.999,"Tamanho do imóvel
600 m²",,,,Terreno,600.0,79999.0,,,133.33166666666668
19,"Lote/Terreno para comprar com 225 m² em
Loteamento Villa Branca, Jacareí",R$ 269.000 IPTU R$ 1.200,"Tamanho do imóvel
225 m²",,,,Terreno,225.0,269000.0,,,1195.5555555555557
19,"Flat para comprar com 40 m², 1 quarto, 1 banheiro, 1 vaga em
Loteamento Villa Branca, Jacareí",R$ 340.000,"Tamanho do imóvel
40 m²","Quantidade de quartos
1","Quantidade de banheiros
1","Quantidade de vagas de garagem
1",Terreno,40.0,340000.0,1.0,1.0,8500.0
19,"Lote/Terreno para comprar com 120 m² em
Jardim do Marquês, Jacareí",R$ 120.000 IPTU R$ 242,"Tamanho do imóvel
120 m²",,,,Terreno,120.0,120000.0,,,1000.0
19,"Lote/Terreno para comprar com 400 m² em
Jardim Terras de São João, Jacareí",R$ 370.000 IPTU R$ 400,"Tamanho do imóvel
400 m²",,,,Terreno,400.0,370000.0,,,925.0
19,"Lote/Terreno para comprar com 1628 m² em
Bandeira Branca, Jacareí",R$ 390.000 Cond. R$ 400,"Tamanho do imóvel
1628 m²",,,,Terreno,1628.0,390000.0,,,239.55773955773955
20,"Lote/Terreno para comprar com 212 m² em
Jardim Jacinto, Jacareí",R$ 300.000 Cond. R$ 350 • IPTU R$ 60,"Tamanho do imóvel
212 m²",,,,Terreno,212.0,300000.0,,,1415.0943396226414
20,"Lote/Terreno para comprar com 175 m² em
Loteamento Villa Branca, Jacareí",R$ 254.400 IPTU R$ 75,"Tamanho do imóvel
175 m²",,,,Terreno,175.0,254400.0,,,1453.7142857142858
20,"Lote/Terreno para comprar com 2000 m² em
Chácaras Condomínio Recanto Pássaros II, Jacareí",R$ 150.000 Cond. R$ 250 • IPTU R$ 100,"Tamanho do imóvel
2000 m²",,,,Terreno,2000.0,150000.0,,,75.0
20,"Lote/Terreno para comprar com 1204 m² em
Parque Imperial, Jacareí",R$ 290.000,"Tamanho do imóvel
1204 m²",,,,Terreno,1204.0,290000.0,,,240.86378737541528
20,"Lote/Terreno para comprar com 296 m² em
Residencial Santa Paula, Jacareí",R$ 402.800,"Tamanho do imóvel
296 m²",,,,Terreno,296.0,402800.0,,,1360.8108108108108
21,"Lote/Terreno para comprar com 10435 m² em
Jardim Esperança, Jacareí",R$ 10.000.000 IPTU R$ 1.704,"Tamanho do imóvel
10435 m²",,,,Terreno,10435.0,10000000.0,,,958.3133684714902
21,"Lote/Terreno para comprar com 296 m² em
Residencial Santa Paula, Jacareí",R$ 402.800,"Tamanho do imóvel
296 m²",,,,Terreno,296.0,402800.0,,,1360.8108108108108
21,"Lote/Terreno para comprar com 5000 m² em
Centro, Jacareí",R$ 272.000 IPTU R$ 1,"Tamanho do imóvel
5000 m²",,,,Terreno,5000.0,272000.0,,,54.4
21,"Lote/Terreno para comprar com 250 m² em
Condomínio Vem Viver Jacareí, Jacareí",R$ 470.000 Cond. R$ 480,"Tamanho do imóvel
250 m²",,,,Terreno,250.0,470000.0,,,1880.0
22,"Fazenda/Sítio/Chácara para comprar com 115 m², 2 quartos, 1 banheiro em
Loteamento Villa Branca, Jacareí",R$ 1.150.000,"Tamanho do imóvel
115 m²","Quantidade de quartos
2","Quantidade de banheiros
1",,Terreno,115.0,1150000.0,2.0,,10000.0
22,"Lote/Terreno para comprar com 5000 m² em
Centro, Jacareí",R$ 239.999 Cond. R$ 1,"Tamanho do imóvel
5000 m²",,,,Terreno,5000.0,239999.0,,,47.9998
22,"Lote/Terreno para comprar com 5000 m² em
Centro, Jacareí",R$ 242.000,"Tamanho do imóvel
5000 m²",,,,Terreno,5000.0,242000.0,,,48.4
22,"Lote/Terreno para comprar com 315 m² em
Bandeira Branca, Jacareí",R$ 383.000 Cond. R$ 350 • IPTU R$ 900,"Tamanho do imóvel
315 m²",,,,Terreno,315.0,383000.0,,,1215.873015873016
22,"Lote/Terreno para comprar com 307 m² em
Jardim Residencial Golden Park, Jacareí",R$ 380.000 Cond. R$ 463,"Tamanho do imóvel
307 m²",,,,Terreno,307.0,380000.0,,,1237.785016286645
22,"Lote/Terreno para comprar com 1150 m² em
Loteamento Residencial Parque Lago Dourado, Jacareí",R$ 250.000 Cond. R$ 500 • IPTU R$ 100,"Tamanho do imóvel
1150 m²",,,,Terreno,1150.0,250000.0,,,217.3913043478261
22,"Lote/Terreno para comprar com 250 m² em
Jardim São Gabriel, Jacareí",R$ 328.000 Cond. R$ 460 • IPTU R$ 51,"Tamanho do imóvel
250 m²",,,,Terreno,250.0,328000.0,,,1312.0
22,"Imóvel para comprar com 120 m², 3 quartos, 2 banheiros, 2 vagas em
Loteamento Villa Branca, Jacareí",R$ 720.000 IPTU R$ 80,"Tamanho do imóvel
120 m²","Quantidade de quartos
3","Quantidade de banheiros
2","Quantidade de vagas de garagem
2",Terreno,120.0,720000.0,3.0,2.0,6000.0
22,"Lote/Terreno para comprar com 300 m² em
Jardim Paraíba, Jacareí",R$ 510.000 Cond. R$ 450,"Tamanho do imóvel
300 m²",,,,Terreno,300.0,510000.0,,,1700.0
23,"Lote/Terreno para comprar com 3764 m² em
Centro, Jacareí",R$ 4.500.000,"Tamanho do imóvel
3764 m²",,,,Terreno,3764.0,4500000.0,,,1195.5366631243357
23,"Lote/Terreno para comprar com 250 m² em
Jardim São Gabriel, Jacareí",R$ 328.000 Cond. R$ 460 • IPTU R$ 51,"Tamanho do imóvel
250 m²",,,,Terreno,250.0,328000.0,,,1312.0
23,"Imóvel para comprar com 120 m², 3 quartos, 2 banheiros, 2 vagas em
Loteamento Villa Branca, Jacareí",R$ 720.000 IPTU R$ 80,"Tamanho do imóvel
120 m²","Quantidade de quartos
3","Quantidade de banheiros
2","Quantidade de vagas de garagem
2",Terreno,120.0,720000.0,3.0,2.0,6000.0
23,"Lote/Terreno para comprar com 1000 m² em
Chácaras Santa Maria, Jacareí",R$ 260.000,"Tamanho do imóvel
1000 m²",,,,Terreno,1000.0,260000.0,,,260.0
